physical_fitness 1 2 physical_fitness 0 1 corr=0.478371
food_component_recall 53 54 food_component_recall 2 3 corr=0.373541
food_component_recall 53 54 food_component_recall 3 4 corr=0.490211
food_component_recall 1 2 food_component_recall 3 4 corr=0.210437
food_component_recall 2 3 food_component_recall 3 4 corr=0.532959
food_component_recall 3 4 food_component_recall 5 6 corr=0.382491
food_component_recall 2 3 food_component_recall 5 6 corr=0.341885
food_component_recall 1 2 food_component_recall 6 7 corr=0.264413
food_component_recall 3 4 food_component_recall 6 7 corr=0.718931
food_component_recall 5 6 food_component_recall 6 7 corr=0.454296
food_component_recall 53 54 food_component_recall 6 7 corr=0.679972
food_component_recall 54 55 food_component_recall 6 7 corr=0.400072
food_component_recall 2 3 food_component_recall 6 7 corr=0.507839
food_component_recall 3 4 food_component_recall 56 57 corr=0.551183
food_component_recall 2 3 food_component_recall 56 57 corr=0.461843
food_component_recall 6 7 food_component_recall 56 57 corr=0.410191
food_component_recall 3 4 food_component_recall 57 58 corr=0.660944
food_component_recall 2 3 food_component_recall 57 58 corr=0.549530
food_component_recall 6 7 food_component_recall 57 58 corr=0.628815
food_component_recall 6 7 food_component_recall 58 59 corr=0.759977
food_component_recall 2 3 food_component_recall 58 59 corr=0.457242
food_component_recall 3 4 food_component_recall 58 59 corr=0.565130
food_component_recall 58 59 food_component_recall 7 8 corr=0.767939
food_component_recall 3 4 food_component_recall 7 8 corr=0.643153
food_component_recall 56 57 food_component_recall 7 8 corr=0.402087
food_component_recall 2 3 food_component_recall 7 8 corr=0.437559
food_component_recall 6 7 food_component_recall 7 8 corr=0.786380
food_component_recall 55 56 food_component_recall 7 8 corr=0.353705
food_component_recall 5 6 food_component_recall 7 8 corr=0.308815
food_component_recall 53 54 food_component_recall 7 8 corr=0.552935
food_component_recall 54 55 food_component_recall 7 8 corr=0.475322
food_component_recall 52 53 food_component_recall 7 8 corr=0.396616
food_component_recall 57 58 food_component_recall 7 8 corr=0.630563
food_component_recall 7 8 food_component_recall 8 9 corr=0.598400
food_component_recall 6 7 food_component_recall 8 9 corr=0.693549
food_component_recall 3 4 food_component_recall 8 9 corr=0.645091
food_component_recall 2 3 food_component_recall 8 9 corr=0.551588
