"varname","estimate","standard_error","pvalue","tau2","Q","degf","p.het","I2","n","var_desc","model","phenotype"
"bCALCIUM_mg",-0.000728417378893644,0.000283255782840613,0.0101233070506964,0,2.49888624843791,3,0.475492396816936,0,4,"Total Calcium (mg)","reduced_model","diastolic"
"bDIETARY_FIBER_gm",-0.0426824368992954,0.0330372699601453,0.196375131794875,0.00305433374368279,10.1159883419898,3,0.0176054912549957,70.3439753133413,4,"Total Dietary Fiber (gm)","reduced_model","diastolic"
"bMAGNESIUM_mg",-0.00165164538844511,0.00190150389477479,0.385066211896334,9.79688599205526e-06,9.63987673726527,3,0.0218889346963673,68.8792701217561,4,"Total Magnesium (mg)","reduced_model","diastolic"
"bPHOSPHORUS_mg",-0.000457664990609078,0.000591580637810742,0.439149164254982,8.66919530463714e-07,7.88719453630525,3,0.0484015011908586,61.9636616519244,4,"Total Phosphorus (mg)","reduced_model","diastolic"
"DR1TALCO",0.000784728637511869,0.00468128256095827,0.866873487600268,0,1.67958946832438,3,0.641481016942181,0,4,"Alcohol (gm)","reduced_model","diastolic"
"DR1TCALC",-0.000686776330372965,0.000316693629426758,0.0301143787128987,1.39656455548959e-07,4.58950624297991,3,0.20444413966413,34.633491247805,4,"Calcium (mg)","reduced_model","diastolic"
"DR1TCOPP",0.0512606087165813,0.119885835419232,0.66895800336611,0.0130073962468139,3.85448823378983,3,0.277611533238662,22.1686559138793,4,"Copper (mg)","reduced_model","diastolic"
"DR1TFA",-0.00312548398655627,0.00115534595830142,0.00682557880017365,2.35794613961433e-06,4.873224093411,2,0.0874566491472786,58.959408357515,3,"Folic acid (mcg)","reduced_model","diastolic"
"DR1TFIBE",-0.037969676193328,0.0257519046274154,0.140362764921378,0.00178860352091263,9.30172918710073,3,0.025536920673804,67.747932242961,4,"Dietary fiber (gm)","reduced_model","diastolic"
"DR1TIRON",-0.0511444265182043,0.0161137558920103,0.00150374095281836,0,1.34667455558246,3,0.718080695882476,0,4,"Iron (mg)","reduced_model","diastolic"
"DR1TM161",0.578159795127663,0.241669657932071,0.0167406073328956,0.108639829525017,5.65670577555477,3,0.129560583285245,46.965599431309,4,"MFA 16:1 (Hexadecenoic) (gm)","reduced_model","diastolic"
"DR1TMAGN",-0.00333035604595013,0.0020547989033622,0.105067013598718,1.15715714825257e-05,10.2922566436716,3,0.0162384339328794,70.8518733659385,4,"Magnesium (mg)","reduced_model","diastolic"
"DR1TPHOS",-0.000637668622605094,0.000482454282231492,0.186261994051978,4.98656171770886e-07,6.49109234587144,3,0.0900144625695956,53.7828174342936,4,"Phosphorus (mg)","reduced_model","diastolic"
"DR1TVB2",-0.32979535963285,0.127598334404966,0.00974816050009053,0,2.32770719651375,3,0.50723373439462,0,4,"Riboflavin (Vitamin B2) (mg)","reduced_model","diastolic"
"LBXFOL",-0.0941260974042333,0.0222532168024418,2.3392528681887e-05,0.00113167768177788,7.16727625093761,3,0.0667529739153706,58.1430951596494,4,"Folate, serum (ng/mL)","reduced_model","diastolic"
"LBXIRN",-0.00488342482467245,0.00414090029501485,0.238272864274028,2.94539120219203e-05,5.33609225064687,3,0.14877748987789,43.7790829115384,4,"Iron, Frozen Serum (ug/dL)","reduced_model","diastolic"
"LBXSCA",1.12738374536118,0.340020304693654,0.000914346634149132,0,2.34786202871442,3,0.503413869951859,0,4,"Total calcium (mg/dL)","reduced_model","diastolic"
"LBXSPH",-0.771064471418096,0.246074265429522,0.00172757019368641,0,2.14654565218146,3,0.542553802172589,0,4,"Phosphorus (mg/dL)","reduced_model","diastolic"
"NAKRATIO",0.422055395791697,0.20130686930848,0.0360310178559468,0,0.0970637429799954,3,0.992187442881574,0,4,"Sodium/Potassium ratio","reduced_model","diastolic"
