"","varname","series","outcome","N","degf","index","varnameModel","estimate","standard_error","tstat","pvalue","rsq","adjrsq","noenv_rsq","noenv_adjrsq","model_name","var_desc"
"1","bDIETARY_FIBER_gm","2001-2002","msys",3305,1,2,"bDIETARY_FIBER_gm",-0.00101962013260076,0.0290910468487997,-0.0350492760848456,0.977696067948738,0.197944673278172,0.194531671887866,0.197944395078307,0.194776141397365,"full_model","Total Dietary Fiber (gm)"
"4","bDIETARY_FIBER_gm","2005-2006","msys",3310,1,2,"bDIETARY_FIBER_gm",-0.143438106786402,0.0329280082165889,-4.35611245730129,0.14365504363814,0.151131656493482,0.147524932120465,0.147305580504984,0.143942404699936,"full_model","Total Dietary Fiber (gm)"
"6","bDIETARY_FIBER_gm","2003-2004","msys",3039,1,2,"bDIETARY_FIBER_gm",-0.132961124814077,0.046846406553927,-2.83823530116488,0.21565524161578,0.177206733753342,0.173397505668867,0.173972765489301,0.170422896382313,"full_model","Total Dietary Fiber (gm)"
"8","bMAGNESIUM_mg","2001-2002","msys",3228,1,2,"bMAGNESIUM_mg",0.00026799150435769,0.00226855997725083,0.118132871533094,0.92514121915959,0.197685151970315,0.194189226706569,0.197681036279992,0.194435813340241,"full_model","Total Magnesium (mg)"
"10","bMAGNESIUM_mg","2003-2004","msys",3020,1,2,"bMAGNESIUM_mg",-0.0113695758240178,0.00297913595273042,-3.81640046121339,0.163143862250788,0.177141882360923,0.173308267170591,0.170998262766549,0.167413092246245,"full_model","Total Magnesium (mg)"
"11","bMAGNESIUM_mg","2005-2006","msys",3282,1,2,"bMAGNESIUM_mg",-0.00522098725956025,0.00257278356844061,-2.02931460057666,0.291478084603104,0.147695093994139,0.144042731372749,0.146273293464104,0.142877195794286,"full_model","Total Magnesium (mg)"
"17","bPHOSPHORUS_mg","2003-2004","msys",3047,1,2,"bPHOSPHORUS_mg",-0.00291067166472421,0.000555627650056189,-5.23852919204051,0.120081740951186,0.17418898063662,0.170375869069639,0.170345886554998,0.166789835293941,"full_model","Total Phosphorus (mg)"
"19","bPHOSPHORUS_mg","2001-2002","msys",3274,1,2,"bPHOSPHORUS_mg",-0.000148012097406086,0.000837300357526526,-0.17677300155864,0.888613526227246,0.194673403146614,0.191213884166575,0.194657391972898,0.191445903045182,"full_model","Total Phosphorus (mg)"
"21","bPHOSPHORUS_mg","2005-2006","msys",3317,1,2,"bPHOSPHORUS_mg",-0.00101932617433405,0.00103913229581893,-0.980939749861906,0.5061252532636,0.14799386036404,0.144381478185087,0.147511131172918,0.144155891907174,"full_model","Total Phosphorus (mg)"
"22","DR1TALCO","2005-2006","msys",3356,1,2,"DR1TALCO",0.0510022813429432,0.0152634672243677,3.34146105817421,0.185120878471416,0.152801219481344,0.149251149763517,0.147273914634913,0.143956907121524,"full_model","Alcohol (gm)"
"25","DR1TALCO","2001-2002","msys",3352,1,2,"DR1TALCO",0.0230400335133058,0.00755923111073584,3.04793347045359,0.201824506779545,0.198907098152983,0.195546204947751,0.196295532316718,0.193165466984219,"full_model","Alcohol (gm)"
"27","DR1TALCO","2003-2004","msys",3080,1,2,"DR1TALCO",0.0317313375600496,0.0135428648499719,2.34302992103737,0.256807583311359,0.176552293952197,0.172791031999614,0.173408779833626,0.169903989924244,"full_model","Alcohol (gm)"
"29","DR1TCALC","2001-2002","msys",3352,1,2,"DR1TCALC",0.000259471512828315,0.000821348824088812,0.315909033066636,0.805202253036845,0.19636955063794,0.192998011443733,0.196295532316718,0.193165466984219,"full_model","Calcium (mg)"
"32","DR1TCALC","2003-2004","msys",3080,1,2,"DR1TCALC",-0.00167189154097618,0.000396136299997898,-4.2204956753144,0.148108751257218,0.175623419660723,0.171857914889189,0.173408779833626,0.169903989924244,"full_model","Calcium (mg)"
"34","DR1TCALC","2005-2006","msys",3356,1,2,"DR1TCALC",-0.00097503705274765,0.000788821720093355,-1.23606770441394,0.43303837251717,0.147981813269921,0.144411548494638,0.147273914634913,0.143956907121524,"full_model","Calcium (mg)"
"37","DR1TCOPP","2003-2004","msys",3080,1,2,"DR1TCOPP",-0.565298781957499,0.517094092290608,-1.09322227885713,0.47166667059823,0.174277033505972,0.170505378846619,0.173408779833626,0.169903989924244,"full_model","Copper (mg)"
"39","DR1TCOPP","2001-2002","msys",3352,1,2,"DR1TCOPP",0.0397527440617421,0.144753509692196,0.274623697527421,0.829375503829411,0.19630954647454,0.192937755539762,0.196295532316718,0.193165466984219,"full_model","Copper (mg)"
"41","DR1TCOPP","2005-2006","msys",3356,1,2,"DR1TCOPP",-0.483506500809466,0.294414210405338,-1.64226618050736,0.348198322797477,0.148035004082703,0.14446496219619,0.147273914634913,0.143956907121524,"full_model","Copper (mg)"
"43","DR1TFA","2003-2004","msys",3080,1,2,"DR1TFA",-0.0031245269450109,0.00152483347776748,-2.04909387849061,0.289036984862593,0.174483074491797,0.170712360965821,0.173408779833626,0.169903989924244,"full_model","Folic acid (mcg)"
"45","DR1TFA","2001-2002","msys",3352,1,2,"DR1TFA",-0.0016415445352633,0.00116368444482629,-1.41064404750065,0.392585302993002,0.19679930124984,0.193429565024937,0.196295532316718,0.193165466984219,"full_model","Folic acid (mcg)"
"47","DR1TFA","2005-2006","msys",3356,1,2,"DR1TFA",-0.00247769789773787,0.00149874901159048,-1.65317733561574,0.346328520083748,0.147988434543926,0.144418197514179,0.147273914634913,0.143956907121524,"full_model","Folic acid (mcg)"
"49","DR1TFIBE","2001-2002","msys",3352,1,2,"DR1TFIBE",0.0116105924117706,0.029023987665228,0.400034362806755,0.757743258384695,0.196343054399162,0.19297140404303,0.196295532316718,0.193165466984219,"full_model","Dietary fiber (gm)"
"51","DR1TFIBE","2005-2006","msys",3356,1,2,"DR1TFIBE",-0.127051090821186,0.0269539160088935,-4.71364126753475,0.133085805878569,0.1509486590955,0.14739082647872,0.147273914634913,0.143956907121524,"full_model","Dietary fiber (gm)"
"53","DR1TFIBE","2003-2004","msys",3080,1,2,"DR1TFIBE",-0.108727692795901,0.0402381678557169,-2.70210346519177,0.225651209157436,0.17606833461595,0.172304862082385,0.173408779833626,0.169903989924244,"full_model","Dietary fiber (gm)"
"56","DR1TIRON","2001-2002","msys",3352,1,2,"DR1TIRON",-0.0219400166232636,0.0304552446467388,-0.720401916903105,0.602566106420926,0.196440181294873,0.19306893842347,0.196295532316718,0.193165466984219,"full_model","Iron (mg)"
"58","DR1TIRON","2005-2006","msys",3356,1,2,"DR1TIRON",-0.0895673470523696,0.0371759105326731,-2.40928455467556,0.250460337501119,0.148917225136963,0.145350880076178,0.147273914634913,0.143956907121524,"full_model","Iron (mg)"
"61","DR1TIRON","2003-2004","msys",3080,1,2,"DR1TIRON",-0.0867173280494169,0.0518613170102488,-1.67210038326408,0.34312825608895,0.17479714243613,0.171027863478253,0.173408779833626,0.169903989924244,"full_model","Iron (mg)"
"63","DR1TMAGN","2001-2002","msys",3352,1,2,"DR1TMAGN",-0.00092411485846695,0.00200948424068959,-0.459876638868201,0.725593374594379,0.196336583065557,0.192964905559689,0.196295532316718,0.193165466984219,"full_model","Magnesium (mg)"
