varname,series,outcome,N,degf,index,varnameModel,estimate,standard_error,tstat,pvalue,rsq,adjrsq,noenv_rsq,noenv_adjrsq,model_name,var_desc
bCALCIUM_mg,1999-2000,mdis,2928,2,2,bCALCIUM_mg,-0.000529318,0.000694334,-0.762338713,0.525495336,0.064708147,0.060857889,0.064222268,0.060692242,reduced_model,Total Calcium (mg)
bCALCIUM_mg,2001-2002,mdis,3184,3,2,bCALCIUM_mg,0.000329044,0.000550534,0.597681373,0.592161098,0.045999711,0.042389493,0.045814195,0.042505228,reduced_model,Total Calcium (mg)
bCALCIUM_mg,2003-2004,mdis,3040,3,2,bCALCIUM_mg,-0.00097851,0.000545621,-1.793387513,0.170807764,0.041238574,0.037437736,0.039688647,0.036200066,reduced_model,Total Calcium (mg)
bCALCIUM_mg,2005-2006,mdis,3283,3,2,bCALCIUM_mg,-0.000787645,0.0005332,-1.477203127,0.23612775,0.018893687,0.015293297,0.018083726,0.014781654,reduced_model,Total Calcium (mg)
bDIETARY_FIBER_gm,1999-2000,mdis,2946,2,2,bDIETARY_FIBER_gm,-0.029839623,0.039259415,-0.760062854,0.526594065,0.065275599,0.061451292,0.064904199,0.061398387,reduced_model,Total Dietary Fiber (gm)
bDIETARY_FIBER_gm,2001-2002,mdis,3418,3,2,bDIETARY_FIBER_gm,0.057404857,0.035740578,1.606153587,0.206592463,0.042832667,0.03945939,0.041607238,0.038512017,reduced_model,Total Dietary Fiber (gm)
bDIETARY_FIBER_gm,2003-2004,mdis,3078,3,2,bDIETARY_FIBER_gm,-0.087206123,0.030427979,-2.865984739,0.064261135,0.04144961,0.037696721,0.039362012,0.035915496,reduced_model,Total Dietary Fiber (gm)
bDIETARY_FIBER_gm,2005-2006,mdis,3338,3,2,bDIETARY_FIBER_gm,-0.049209763,0.044350916,-1.109554609,0.348134477,0.018051052,0.014507176,0.017439517,0.014189919,reduced_model,Total Dietary Fiber (gm)
bMAGNESIUM_mg,1999-2000,mdis,2930,2,2,bMAGNESIUM_mg,-0.000653411,0.001896687,-0.344501179,0.763321984,0.066280021,0.062438869,0.066239992,0.062719992,reduced_model,Total Magnesium (mg)
bMAGNESIUM_mg,2001-2002,mdis,3340,3,2,bMAGNESIUM_mg,0.000488545,0.001961048,0.249124408,0.81934696,0.041459028,0.038001712,0.041440276,0.03827196,reduced_model,Total Magnesium (mg)
bMAGNESIUM_mg,2003-2004,mdis,3059,3,2,bMAGNESIUM_mg,-0.006188065,0.001981461,-3.122980451,0.052350116,0.0412114,0.037434163,0.038505973,0.035034875,reduced_model,Total Magnesium (mg)
