varname,series,outcome,N,degf,index,varnameModel,estimate,standard_error,tstat,pvalue,rsq,adjrsq,noenv_rsq,noenv_adjrsq,model_name,var_desc
bMAGNESIUM_mg,2001-2002,mdis,3228,1,2,bMAGNESIUM_mg,0.000619132,0.001980524,0.312610286,0.807113542,0.061081236,0.056990086,0.061050072,0.057252203,full_model,Total Magnesium (mg)
bMAGNESIUM_mg,2003-2004,mdis,3020,1,2,bMAGNESIUM_mg,-0.006010799,0.002112531,-2.845307227,0.215159175,0.058402667,0.054015858,0.055878452,0.051795425,full_model,Total Magnesium (mg)
bMAGNESIUM_mg,2005-2006,mdis,3282,1,2,bMAGNESIUM_mg,0.004287019,0.002961185,1.447737771,0.384823454,0.047117886,0.043034522,0.045798146,0.042002362,full_model,Total Magnesium (mg)
bPHOSPHORUS_mg,2001-2002,mdis,3274,1,2,bPHOSPHORUS_mg,-0.000562627,0.000657647,-0.855516365,0.549471895,0.060908651,0.056874506,0.060579709,0.056833554,full_model,Total Phosphorus (mg)
bPHOSPHORUS_mg,2003-2004,mdis,3047,1,2,bPHOSPHORUS_mg,-0.001905018,0.000710841,-2.679948464,0.227362582,0.058186828,0.053838086,0.055763428,0.051716255,full_model,Total Phosphorus (mg)
bPHOSPHORUS_mg,2005-2006,mdis,3317,1,2,bPHOSPHORUS_mg,0.000746959,0.000747553,0.999204983,0.500253162,0.046049137,0.042004524,0.045693917,0.041937944,full_model,Total Phosphorus (mg)
DR1TALCO,2005-2006,mdis,3356,1,2,DR1TALCO,0.021291242,0.01763995,1.206989916,0.440466639,0.046979599,0.042986099,0.045661141,0.041948871,full_model,Alcohol (gm)
DR1TALCO,2001-2002,mdis,3352,1,2,DR1TALCO,-0.004808894,0.007518344,-0.639621411,0.637734978,0.063046927,0.059116048,0.062888554,0.059238929,full_model,Alcohol (gm)
DR1TALCO,2003-2004,mdis,3080,1,2,DR1TALCO,0.004661376,0.00881809,0.52861508,0.690426605,0.057217888,0.052911542,0.057118384,0.053120517,full_model,Alcohol (gm)
DR1TFA,2003-2004,mdis,3080,1,2,DR1TFA,-0.00436437,0.001493924,-2.921414236,0.209956375,0.060192865,0.055900108,0.057118384,0.053120517,full_model,Folic acid (mcg)
DR1TFA,2001-2002,mdis,3352,1,2,DR1TFA,-0.000892749,0.000962849,-0.927195919,0.524038287,0.063095969,0.059165296,0.062888554,0.059238929,full_model,Folic acid (mcg)
DR1TFA,2005-2006,mdis,3356,1,2,DR1TFA,-0.004108772,0.001423657,-2.886069179,0.212342155,0.048350643,0.044362887,0.045661141,0.041948871,full_model,Folic acid (mcg)
DR1TMAGN,2001-2002,mdis,3352,1,2,DR1TMAGN,-0.001524569,0.002737177,-0.556985929,0.676475649,0.063044086,0.059113195,0.062888554,0.059238929,full_model,Magnesium (mg)
DR1TMAGN,2005-2006,mdis,3356,1,2,DR1TMAGN,0.002711692,0.00313351,0.865384922,0.545862018,0.046079291,0.042082018,0.045661141,0.041948871,full_model,Magnesium (mg)
DR1TMAGN,2003-2004,mdis,3080,1,2,DR1TMAGN,-0.008223077,0.002613157,-3.146798336,0.195882091,0.060350442,0.056058405,0.057118384,0.053120517,full_model,Magnesium (mg)
DR1TPHOS,2001-2002,mdis,3352,1,2,DR1TPHOS,-0.000511074,0.000577249,-0.885362011,0.538661577,0.063187316,0.059257026,0.062888554,0.059238929,full_model,Phosphorus (mg)
DR1TPHOS,2005-2006,mdis,3356,1,2,DR1TPHOS,0.000219849,0.000705327,0.311698451,0.807642493,0.045692325,0.04169343,0.045661141,0.041948871,full_model,Phosphorus (mg)
DR1TPHOS,2003-2004,mdis,3080,1,2,DR1TPHOS,-0.001842587,0.000534099,-3.449901357,0.179610413,0.05964634,0.055351086,0.057118384,0.053120517,full_model,Phosphorus (mg)
DR1TVB2,2005-2006,mdis,3356,1,2,DR1TVB2,-0.155594278,0.20061543,-0.775584802,0.580037646,0.045772406,0.041773847,0.045661141,0.041948871,full_model,Riboflavin (Vitamin B2) (mg)
DR1TVB2,2001-2002,mdis,3352,1,2,DR1TVB2,-0.220537988,0.221173102,-0.997128432,0.500915362,0.063171821,0.059241466,0.062888554,0.059238929,full_model,Riboflavin (Vitamin B2) (mg)
DR1TVB2,2003-2004,mdis,3080,1,2,DR1TVB2,-0.608824407,0.254829122,-2.389147687,0.252357796,0.058953745,0.054655328,0.057118384,0.053120517,full_model,Riboflavin (Vitamin B2) (mg)
LBXFOL,2003-2004,mdis,2972,1,2,LBXFOL,-0.047328234,0.02394037,-1.976921578,0.298133028,0.059834734,0.055383495,0.057583538,0.053441748,full_model,"Folate, serum (ng/mL)"
LBXFOL,2005-2006,mdis,3179,1,2,LBXFOL,-0.080993093,0.035038451,-2.311548888,0.259931212,0.05310458,0.048914777,0.049132527,0.04522691,full_model,"Folate, serum (ng/mL)"
LBXFOL,2001-2002,mdis,3209,1,2,LBXFOL,-0.050934489,0.034173642,-1.490461235,0.376210822,0.060154732,0.056035184,0.059197945,0.055369955,full_model,"Folate, serum (ng/mL)"
LBXSPH,2003-2004,mdis,2949,1,2,LBXSPH,-0.190807085,0.532806103,-0.358117305,0.78107417,0.058882782,0.054392107,0.058807171,0.054638344,full_model,Phosphorus (mg/dL)
LBXSPH,2005-2006,mdis,3189,1,2,LBXSPH,-0.294040661,0.508964513,-0.577723307,0.666488583,0.047996891,0.043797759,0.047811741,0.043913017,full_model,Phosphorus (mg/dL)
LBXSPH,2001-2002,mdis,3201,1,2,LBXSPH,-0.974601669,0.343428423,-2.837859666,0.215681652,0.062703875,0.058585185,0.060714435,0.056883022,full_model,Phosphorus (mg/dL)
